city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Non-Metropolitan,2025-04-01,Haryana,Rohtak,124113,0.0,0.0,0.0,23.0,90.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Rohtak,124401,0.0,0.0,0.0,21.0,91.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Rohtak,124412,0.0,0.0,0.0,10.0,38.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Rohtak,124501,0.0,0.0,0.0,41.0,202.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Jhajjar,124507,0.0,0.0,0.0,469.0,2115.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Rohtak,124514,0.0,0.0,0.0,38.0,183.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Hisar,125044,0.0,0.0,0.0,58.0,272.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Fatehabad,125051,0.0,0.0,0.0,171.0,1188.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sirsa,125055,0.0,0.0,0.0,250.0,1832.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sirsa,125060,0.0,0.0,0.0,42.0,257.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sirsa,125076,0.0,0.0,0.0,34.0,195.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sirsa,125102,0.0,0.0,0.0,69.0,467.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sirsa,125104,0.0,0.0,0.0,84.0,667.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Jind,126101,0.0,0.0,0.0,48.0,356.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Jind,126102,0.0,0.0,0.0,258.0,1441.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Jind,126112,0.0,0.0,0.0,70.0,544.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Bhiwani,127030,0.0,0.0,0.0,19.0,135.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Bhiwani,127031,0.0,0.0,0.0,25.0,138.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Bhiwani,127040,0.0,0.0,0.0,51.0,235.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sonipat,131023,0.0,0.0,0.0,53.0,330.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sonipat,131024,0.0,0.0,0.0,19.0,161.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Sonipat,131029,0.0,0.0,0.0,66.0,297.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Karnal,132023,0.0,0.0,0.0,18.0,112.0,0.0,0.0
